Região,Provincia,Ecorregião Marinha,Zona,x,y
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-172.706,48.724
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-172.94,48.698
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-173.395,48.665
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-173.495,48.648999999999994
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-173.58700000000002,48.666000000000004
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-173.703,48.678000000000004
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-173.827,48.669
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-174.137,48.687
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-174.37099999999998,48.677
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-174.485,48.663999999999994
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-174.608,48.659
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-174.72,48.636
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-174.892,48.644
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-174.99099999999999,48.63399999999999
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-175.08,48.606
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-175.294,48.548
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-175.40200000000002,48.516000000000005
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-175.497,48.492
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-175.627,48.45399999999999
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-175.801,48.408
